sample,MEgrey60,MEgreen,MEsalmon,MEpurple,MEblue,MEmidnightblue,MEblack,MElightcyan,MEbrown,MEcyan,MEturquoise,MEred,MEtan,MEgrey
H181Fg01,0.09898692266084497,-0.28263072600941846,-0.10149311402776343,-0.09184447898244019,0.049696306000973654,0.020002219138248446,0.012931009010619467,0.04399114015240677,0.08507093777142108,0.04379236718263104,0.025599383045017323,0.04147861544720761,-0.02674987709133946,0.07619846084161407
H181Fg02,0.04708815308062542,-0.0451409275409288,-0.10907310373384205,0.052486159388520415,0.061991199921766826,0.17600727501516833,0.13577107250365478,0.05360729494273608,0.10056963048671719,0.05398706633254913,0.09531987344815795,0.09929880805217273,0.07725637780931749,0.09687366160349359
H181Fg07,-0.1537387492863529,-0.37309062314281916,-0.18517333866042515,-0.18532214827074842,-0.004785631876802365,-0.08756393460706757,0.023291942737624916,-0.04730002165694225,0.018241306371255983,-0.010612546822783675,0.027233952971665754,-0.04305637084106628,-0.03468285144703076,-0.16172506343337129
H181Fg08,-0.44298605677552144,-0.03364097114559202,-0.21603027167423544,-0.10440751961986307,0.04584203050399006,0.04315656115015554,0.08167329620966968,0.050883914491570356,0.08687973138624255,0.03655639904672843,0.05625367523518925,-0.0057436281618416934,-0.05967788081896852,-0.03914895111287642
H181Fg09,0.05830001549106011,-0.2508613974605118,-0.10956691394688253,0.041169819534118975,0.041276528856484064,0.019759472994805967,0.046362652095756386,0.03456593463247573,0.06776070411294562,0.018637868845948515,0.05787301630562659,0.05073250170937875,0.1746303999847709,0.12839975458150682
H181Fg14,-0.22382903858155412,-0.15705049483298716,-0.2541370482656528,0.05925335207600835,0.002335088898232331,-0.029235541980106985,-0.012464289682097673,-0.0060351259007268045,0.019039536528801342,-0.05972126994736892,0.010841901100923484,-0.0013341939021899176,-0.0782799808378594,-0.2690086811433925
H181Fg28,-0.02332621371563579,-0.3557052311443519,-0.31106664539506307,-0.07356981164858023,0.048773797511350164,-0.03394008403459402,-0.020544054527833512,0.009195030856681758,0.05842705852361378,0.019052482470303955,0.010949746210550098,0.04309220770295715,0.6179788590127673,0.11235331859480255
H181Fg30,0.02917535622267268,-0.2587790487532508,-0.33272271071349124,0.014264769360850233,0.03975385328602413,0.006553861281610704,-0.007395112048030973,0.022841009963113855,0.08098947231434724,0.056267956703056995,0.0015818178734107796,0.06632577643014026,0.035334158116606354,-0.09660350013509546
H181Fg37,-0.10738331012533942,-0.2035243621746502,-0.34139042814396575,0.005575632989836684,0.061706801802292724,0.006124131701919286,0.04145140089544924,0.03505032629704362,0.06904847832594325,0.02394470105881753,0.0410456782129864,0.0594604034328328,0.28736655057432764,0.017120289610343686
H181Fg42,-0.47411283650758895,-0.015504198570006145,-0.2979661290445449,-0.0912542547017088,0.041198222735184246,0.012688061716168935,0.07398070713479424,0.0021294561436596793,0.04626393946892822,0.03278334208023655,0.037720636760790044,-0.001913018374752393,0.21364056335620865,0.026448523757207906
H181Fg45,0.03565447342893785,0.17404435269315896,-0.13241723712202322,-0.12115958897831046,0.1377794060544755,0.061123777076457816,0.1375222656967384,0.15570813430608973,0.17613739083797064,0.16207872724072325,0.13058600761696065,0.16084848557578588,0.037954980281763064,0.16229414576423282
H181Fg46,-0.13076513220742284,-0.04020338156039029,-0.20770207298571716,0.08189234818804711,0.07637408995584798,0.684443355808181,0.24506931331671788,0.31083636578990886,0.21046294337781107,0.12971195260880583,0.13790106694993254,0.07060796365158781,0.23594034291930388,0.332191756636591
H182Fg01,0.19646440696060583,0.13244506444772328,0.11713755996850775,0.050019219586862035,0.026782041350365948,0.008659395913728657,0.01697298140531095,0.046982625838982196,0.02608059390652623,0.04306619637839553,0.01348327583286179,0.007221881987157117,-0.13986766285342028,0.047946924935853494
H182Fg07,0.054518756444711575,0.1026350585046507,0.011895821119724991,0.060212912769753435,0.04007621492838796,0.010310086669592777,0.01789612932301894,0.06027029849614126,0.031083549126125314,0.03535057389540288,0.01734002838599936,0.034437988107366715,-0.0386191045430406,0.024531402863289913
H182Fg09,0.07434446107928877,0.2240088571397787,0.06387059534936368,-0.010020958976419327,0.014346905682058519,-0.014651167953336566,-0.006848827230223775,0.01132882404990417,0.0033414635859390323,0.035199302069564266,0.008043148155248866,0.014818073531944703,-2.1695998336373733e-4,-0.009264084786324346
H182Fg14,0.20696143533524977,-0.054309808033211504,0.20107207185441728,-0.13981546343976695,-0.9451740039186024,-0.6021942398170711,0.06589422164844032,-0.614036991556116,-0.6061837469941805,0.09888166619682032,0.029734167723621613,0.0770044816112482,-0.12025597977825739,-0.39325148267948357
H182Fg24,3.774500399181615e-5,0.12673150112577425,0.1177585145676917,-0.5050359409472455,0.013181200785086415,0.029036426144963157,-0.012350834242417895,0.04833965063322347,0.003560050801068772,0.017308068344622472,0.008724689320131302,-0.0047730919426521015,-0.11392485129401789,0.09704542643287349
H182Fg25,0.11885076800582747,0.2057743673686682,0.10689186729406566,-0.08064950825361776,-0.019618912420027827,-0.06915671063417156,-0.03552105028014335,-0.021152157116641087,-0.04389229728081571,-0.01388143142906168,-0.028120866539652744,-0.04126406092933372,-0.11392855073887383,-0.2134764466586632
H182Fg28,0.06248247673308695,0.08173442493176292,-0.02522560383507008,-0.03121922458191898,-0.02048671214911104,-0.06501491975800143,-0.09120718397872217,-0.07207344337305616,-0.04975348960428275,-0.05815518468210647,-0.052316450643227166,-0.035281004176937664,-0.007624417767610177,-0.307907161535077
H182Fg29,-0.04226758017594988,-0.054781974597648615,0.12073063668375299,0.04555760353866049,-9.284450473363078e-4,-0.0019634135833330488,-0.014728810928741561,-0.014127199820954933,-0.009176883457431602,0.0157553519074694,0.022637175814277165,-0.005904489709354798,-0.027599066426790997,-0.016006952805994512
H182Fg30,0.17377565160237599,-0.08478255842808237,0.126304966425864,0.10934840130123731,0.01230944428726269,0.01874651339239984,-0.012529486766070864,-0.002205094239090955,0.009767071194680718,0.03039510450549915,0.014651583881610421,-0.009255046236526336,-0.023501625036548405,0.03195743038043451
H182Fg32,0.08225964762586638,-0.12831607404480033,0.04193894919650047,0.11606511043813067,0.024767345936800012,0.010427793083198583,0.0036551521203622775,0.010685503257221044,0.015929239477905723,0.017183520712208262,0.02729782652039196,0.024547545341875875,-0.00999475124108249,0.017325520673500395
H182Fg36,-0.08935175818215459,-0.028105032751843038,0.037794353722323044,-0.08332195676385527,-0.18300518995611617,-0.27535110681205976,-0.1944239237614257,-0.04305912156939307,-0.24489915864531558,-0.658523068446667,-0.04681953797867395,-0.947347418372351,-0.34338156422528493,-0.36713569123097806
H182Fg37,0.02324694194708381,0.0754938151338162,0.0032030984130718716,0.054652870548103735,0.03477833372981634,0.05232975455649946,0.028875104219677584,0.006312917607181575,0.02639204911944198,0.01075663597195468,0.021149029844595706,0.024930252005850997,-0.06794492648876031,0.04231853752094899
H182Fg42,-0.12298792231225696,-0.06513427542454427,-0.08035622776674385,-0.04002730017849122,0.09544952113116928,0.14497727786825562,0.10122617591359656,0.031233847408425344,-0.6407260174722547,-0.6337965911485162,-0.9519348753575684,0.13591013681255526,-0.10442016146648277,-0.07886571549915684
H182Fg43,0.35931748608677716,0.032234630983140986,0.10142587011614529,0.006238352345720414,-0.010327512454023741,-0.02741657194552501,0.006799124418803122,-0.024730417823746614,-1.237451784487525e-4,0.035489744387792635,-0.02971671603008883,0.017193700572860435,-0.24000935458663916,-0.11045750724315144
H182Fg45,0.04350722633194673,0.10387989240282176,0.08408392243495103,0.008919296057999177,0.013548441456936473,0.008379358633450084,0.008461200372063002,-0.0011125984691786465,0.016951653610723576,0.03035467932787044,0.018344495725356645,0.02802200667588662,-0.005414142030889588,0.01738054763749557
H182Fg46,-0.06277965273459367,-0.22706383742911818,0.015935900880943932,-0.05784176970981369,-0.03404976422909604,-0.07033434116337715,-0.9007547236471823,-0.6685188436089611,-0.0817883368739661,-0.2218315222204128,-0.10275003903249721,-0.05255571668291283,-0.0529673732405365,-0.2695564572669453
H183Fg01,-0.025087081971719875,0.053035654122849295,-0.0011409521700779693,0.01453543715865176,0.03558109222137184,0.02024010885760544,0.009311792380298407,0.049508901948300224,0.041588928346970415,0.052656063380682634,0.012664703405913677,0.018204094082764015,0.01216095122096519,0.12444659136268649
H183Fg07,-0.05844864555996623,0.0990926729401026,0.06496913442197062,0.01301626694642487,0.016791624318002144,-2.8776215705772526e-5,-0.004214655713842714,0.03431364759092527,0.022424658546029954,0.031723099450645616,0.024319341415625775,0.013023975019854837,0.023767888039685634,0.060581950480313444
H183Fg08,-0.05777625292851563,0.09441245383453394,0.12081182319680597,0.038700921931087824,0.017958577201647626,0.00482109204273926,0.023008172527348394,0.021710542221849035,0.03187712382745195,0.03688674980719554,0.025719931166658282,0.008242165533346052,0.12382084540462532,0.1466099416002807
H183Fg09,0.11035443530234686,-0.009933015432440845,0.09535107255935747,0.010153274740955655,0.012960319668428543,0.004019786064522777,0.007283563708736119,0.03486310353100485,0.033991006740757494,0.03813907119253728,0.008702962828743012,-0.01173472175700752,-0.07729412259942178,0.010775553535494996
H183Fg14,0.10824644243272899,0.11145528808738057,0.12732193285328677,0.008479606544387883,0.00737024458139893,-0.036430558960876276,0.004568911680908154,0.03604116493920064,0.016126274499587492,0.0264388187010212,-0.0013258406258302748,-0.027268959329397827,-0.04715488562687406,-0.014058749014022156
H183Fg25,0.12852371837419946,0.0682091212296593,0.17904839304723635,0.48010361338877905,0.0076683687955072044,-0.023630827713057117,0.024284485054653162,0.016377945605284185,0.03944853974329557,0.03987018865132648,0.02597596998162114,-9.833530976615225e-4,-0.03737307849091721,0.05967500065175222
H183Fg28,0.03337322150756649,0.08999252645735323,0.1821441138205242,-0.02723163582969662,0.0021190805041322418,6.40924094709964e-4,0.011164421611816864,0.01519512316026768,0.01856324682103108,0.03220001641992547,0.0246502020588928,-8.446077408683665e-4,-0.011529719130338125,0.05606217314854497
H183Fg29,-0.1259819432604609,0.04332419702080663,0.17554357500423098,-0.0017733409136147633,0.05001072002258633,-0.0024593525257217775,0.026109413164440244,0.030152733674336924,0.04735920187871304,0.06140118714798273,0.0739147249100132,0.04899339350882259,0.21999417088977713,0.25298812165025253
H183Fg30,0.049938419411886446,0.05901100971888559,0.16680477034655816,-0.06840582736769589,0.007851366523402186,-0.021303256634640926,-0.0025014706882582,0.023830898626364002,0.009058966675461537,0.027199603727303928,0.03196744061424617,0.014484930891244903,-0.03821159383488181,-0.03518766299578087
H183Fg32,-0.13290561129868775,0.04979799979719253,0.06755385328552203,0.0030232109437951095,0.019013618335432782,-6.992412824623399e-5,0.008349874627971867,0.06213478515151266,0.03111881794672423,0.043386758244401635,0.0321473458703976,-0.010349196105674847,0.017441177263789787,0.061782189538065635
H183Fg36,0.03849341067609297,0.11963821944427129,0.09930112232265499,-0.023425543227495408,0.013309181842722315,-0.007952616709254684,-0.0036801937245138153,0.03261650047284702,0.013628710325226544,0.04070110585880998,0.00923451243308527,-3.4593444574952773e-4,-0.11125528880987665,-0.01608011004302736
H183Fg37,0.060509338860471426,0.045603350241115885,0.04001283496546165,0.5719874992141047,0.06252471854610128,0.043210541187021445,0.06585366282759059,0.06344824929317006,0.10719061931582803,0.07643870804552347,0.055683446522808294,0.061272058591985576,-0.07137722291223049,0.1876801023253439
H183Fg42,0.033190201354259756,0.18049407041002224,0.07958935466880139,-0.07062777173091622,0.03876983659200276,0.00307250791232131,0.02719923546796342,0.05589667836759365,0.04368265573104319,0.06712666577717634,0.04250183997206252,0.03647120193003946,0.015968694737506922,0.12522888991022996
H183Fg43,0.21750634690950219,0.2181195570738305,0.11132612877471434,-0.03852853159675695,0.01728395248794878,0.013927486005182602,0.03986035506986862,0.04925519593496501,0.02073667092461359,0.056041152222532434,0.021456584965232447,0.01228238858558236,-0.1516104228945673,0.016407483892584184
H183Fg45,-0.0807393795050806,0.0212672184990035,0.0016625201296236113,-0.0016370536860878706,0.03954993657699686,-0.011773339088892215,0.029648288878982812,0.03516453128535394,0.03902068354128507,0.05683089828251605,0.02344502207292649,0.04661620767958485,0.09440412349408836,0.0588111798116513
H183Fg46,-0.0906402937412061,0.15612263486829248,0.04397704006142679,0.0014639504130075803,-0.01235324098107193,-0.02218708404386816,-0.005311308803371994,0.019878738465066423,0.008730770314267045,0.022927820519934493,-0.013711878945993674,-0.015566432665755364,-0.03279266690959871,0.0062993378419497655
