sample,MEmagenta,MEpink,MEtan,MEturquoise,MEgreenyellow,MEmidnightblue,MEred,MEyellow,MEbrown,MEcyan,MEpurple,MElightcyan,MEsalmon,MEgreen,MEblack,MEblue,MEgrey,RGR.change,growth.change
H181Fg01,0.063963647,0.004764126,-0.009822295,0.012449709,-0.229429329,-0.016078963,-0.037084086,-0.053179412,0.008565065,-0.007031249,0.030063389,-0.025152818,-0.322411402,0.048539903,-0.109114035,-0.058502033,-0.104337565,0.00522835,0.057880023
H181Fg02,-0.339500775,0.121319014,0.106208476,0.225641312,0.197577644,0.017727588,-0.060223951,0.038368956,0.086028111,0.103208753,0.244767147,0.399353015,0.158242496,-0.136382342,-0.181515278,-0.149255169,-0.036341063,0.003545658,0.071011777
H181Fg07,0.01827232,-0.037891092,-0.104791266,-0.161486681,-0.24693535,-0.060864871,-0.231170499,-0.117134214,-0.103327211,0.03713034,0.156814335,0.267918153,-0.224366265,-0.092622496,-0.107540492,-0.063062391,0.015453457,0.00063523,0.008085469
H181Fg08,-0.314532232,0.04991537,0.030396619,0.069386691,0.251653268,0.079441956,-0.323314898,-0.015747414,-0.054348145,0.038613358,0.073508841,0.192019914,0.23844568,-0.327399191,-0.021284733,-0.045963327,0.00946735,0.005299499,0.173517817
H181Fg09,0.049383908,0.14454956,0.099047483,0.100654084,-0.152574923,0.023213605,-0.09473481,-0.015577446,0.132574877,-0.003418383,0.122972373,0.064705853,-0.121067481,-0.057472607,-0.228044081,-0.110473821,0.117347204,0.014899257,0.093252397
H181Fg14,-0.122917837,-0.048404204,0.007463328,-0.052579729,-0.034700489,-0.123557575,-0.144887243,-0.07971248,0.097606166,-0.02442368,-0.058177166,-0.002720871,-0.098596713,-0.300297293,-0.203313616,-0.19532926,-0.050633578,0.003308448,0.070748795
H181Fg28,0.541355459,0.528365868,-0.005191009,-0.005338939,-0.326464991,-0.047938298,-0.194514913,-0.063863775,0.039416982,0.13010639,0.144281178,-0.072447081,-0.300445935,-0.102927117,-0.32056103,-0.152558395,-0.125081423,0.008715511,0.065038156
H181Fg30,0.061127934,0.163958508,0.067266808,0.027504773,-0.154504843,-0.062093168,-0.021109256,-0.052896972,0.180229618,-0.031854346,-0.164084832,-0.246038688,-0.312340707,-0.131140979,-0.31944305,-0.228500005,-0.045239163,0.001949472,0.079633171
H181Fg37,0.198237272,0.301177701,0.032154591,0.060039741,-0.132216875,-0.03016722,-0.136006011,-0.049785762,0.080753387,-0.014976148,-0.168389966,-0.07001295,-0.203997408,-0.222129392,-0.339051499,-0.157611045,-0.008602813,0.000683451,0.020407174
H181Fg42,0.050702726,0.288764574,-0.030559061,0.087759852,0.167545154,-0.021113089,-0.245246345,-0.017233965,-0.026978779,0.091960161,-0.011040943,0.100895794,0.225794049,-0.435895328,-0.149042799,-0.080265579,0.144359928,0.000694277,0.043417845
H181Fg45,-0.100580286,0.033639296,-0.069482859,0.28779206,0.475014324,-0.019417322,0.080595461,0.066724112,0.00930955,0.061447107,-0.515841503,-0.073746861,0.103704647,-0.046618906,0.051712221,-0.004690513,0.13330477,-0.001145573,-0.012776326
H181Fg46,-0.156936046,0.358024152,0.655652417,0.594202402,0.065743116,0.042057606,-0.052045251,0.045283439,0.110590299,0.250177815,0.349224657,0.413791969,0.251477521,-0.235211666,-0.222307129,-0.055170223,-0.031077392,-0.00325384,-0.024157866
S181Fg02,-0.192745913,-0.234291641,0.003767417,-0.008263172,0.170639961,-0.028120622,0.217290818,-0.010569852,0.099025544,-0.023820327,-0.108268099,-0.041676765,-0.072199262,0.135960964,0.148219249,-0.044552842,-0.11144942,0.000126371,0.00278093
S181Fg03,0.084578714,-0.108770224,-0.058894372,-0.051412083,-0.034752053,-0.057395925,0.01729023,-0.126553461,-0.351007365,-0.121428115,-0.209390133,0.136908319,0.138534828,0.258849268,0.144432741,0.248851944,-0.104337148,-0.026756073,-0.258608106
S181Fg05,0.185598236,-0.037942137,-0.14215391,-0.16310856,-0.124632957,-0.062372146,-0.158780511,-0.162256505,-0.321603247,-0.399976152,-0.208182104,0.201381047,0.339721865,0.237688081,0.16748263,0.166727019,-0.011123774,-0.000974156,-0.02295016
S181Fg06,0.055509108,-0.034159216,-0.116646464,0.335783702,0.211102761,0.730238977,0.196583955,0.004718772,-0.427845004,0.193407495,0.174802702,0.132294765,0.091249439,0.071515757,0.328005556,0.71613833,-0.026487411,0.020853362,0.166668998
S181Fg07,0.175618781,-0.00486603,-0.114733719,-0.062290171,-0.023499158,-0.035115298,-0.103774258,-0.11401513,-0.300993392,-0.661154451,-0.242005132,0.147317351,0.239719688,0.108263574,0.194315262,0.321570574,-0.05314649,-0.001233259,-0.01689413
S181Fg10,0.104725081,0.03552973,-0.072012559,0.011417562,0.069180233,0.08834636,-0.02658513,-0.058837085,-0.373973897,0.102525176,0.115464588,-0.043914976,0.091222844,-0.082596014,0.16168745,0.174385806,0.086757962,-0.000938263,-0.08170795
S181Fg18,0.12605191,-0.159565386,-0.237021527,-0.294446662,-0.107784116,-0.137027457,-0.073389503,-0.127514831,1.50E-04,-0.282324479,-0.176385655,0.063891589,0.179503128,0.233023297,0.082336981,-0.064403298,-0.125379329,-0.000829884,-0.004321399
S181Fg20,-0.321047848,-0.223159433,0.574559798,0.131605995,0.35040253,0.543857863,0.603926751,0.916818579,0.272677664,0.107197924,0.164566501,-0.256631752,0.011607113,0.001195502,0.179777087,-3.99E-04,-0.415017007,0.000244275,0.01866306
S181Fg23,0.096462139,-0.156833411,-0.17173242,-0.241458792,-0.20878604,-0.185550685,-0.030633167,-0.091415458,0.025594889,-0.026602989,0.024003552,-0.073096393,-0.021168882,0.228909492,0.077639768,-0.040602858,0.028323813,-0.000566225,-0.02037257
S181Fg25,0.043168908,-0.09574134,0.091593237,-0.02501417,0.055057414,-0.154027098,0.153467583,0.098649741,0.255291133,0.145239492,0.230721193,-0.158819412,-0.003856024,0.101840549,0.138131266,-0.003014054,-0.121486711,-0.000300254,-0.01391998
S181Fg27,-0.065651102,-0.080707826,-0.012394195,-0.118214536,-0.147658868,-0.043542016,0.164514286,0.031154826,0.233667149,0.074053321,0.11460936,-0.32548382,-0.251898048,0.051214038,-0.00236743,-0.106943658,2.02E-04,-0.000751632,-0.02271544
S181Fg28,-0.046074279,-0.236932509,-0.05111969,-0.120485565,-0.029844118,-0.074428706,0.114992272,-0.007121415,-0.0462334,0.141268111,0.013825368,0.030119866,0.036179846,0.294654107,0.25152541,0.062483662,-0.245124982,0.000879741,0.01761649
S181Fg29,-0.028864672,-0.172978946,-0.093092032,-0.181055076,-0.113443191,-0.109357548,0.028545539,-0.033834142,0.090959247,0.036528169,0.085944382,-0.102128739,0.017652461,0.144434041,0.062688941,-0.071937965,-0.019746752,0.000579608,0.03137012
S181Fg36,-0.242914691,-0.158475786,-0.069982627,-0.00167214,0.085145656,-0.080005424,0.091578392,0.033877899,0.008099738,0.113393568,0.157391447,0.011915937,-0.01035799,-0.092772097,0.183355816,0.060078435,0.267870653,-0.006264631,-0.08832613
S181Fg39,0.152592852,-0.058957219,-0.083319929,-0.13931907,-0.04488839,-0.11248373,-0.053754337,-0.129730526,0.016976825,-0.234251257,-0.149392111,-0.082362318,0.0796675,0.12915233,-0.070287201,-0.157459286,-0.148960997,-0.003014777,-0.0746269
S181Fg42,-0.116132099,-0.153578531,-0.046546226,-0.038029626,0.09160323,-0.039285187,0.153457669,-0.00431528,-0.012953923,-0.00741954,-0.210000274,-0.064191221,0.039483859,0.13005102,0.14501868,0.089235801,-0.010533998,4.28E-05,0.00300268
S181Fg44,-0.107751716,-0.122664582,-0.042361755,-0.024321837,0.061925678,0.005896876,0.274775632,0.03379624,0.082930685,0.071773136,-0.013085244,-0.286294839,-0.250576978,0.099088861,0.082337919,0.029265631,0.372642815,-0.000047002,-0.00244251
S181Fg45,0.148300502,0.095911614,-0.13625226,-0.255741076,-0.140475276,-0.030838483,-0.109764419,0.061902562,0.188817809,0.1406508,0.031282147,-0.237794067,-0.048923871,-0.010915357,-0.124794603,-0.078042054,0.618377245,-0.004505197,-0.11779295