sample,SITE,YEAR,TREE_ID,RGR,growth,RGR.2018,growth.2018,RGR.change,growth.change
H173Fg01,HF,2017,30156,0.01246118,0.1304071,0.01768953,0.188287123,0.00522835,0.057880023
H173Fg07,HF,2017,81099,0.021030121,0.144519244,0.021665351,0.152604713,0.00063523,0.008085469
H173Fg08,HF,2017,81091,0.01509066,0.460714489,0.020390159,0.634232306,0.005299499,0.173517817
H173Fg09,HF,2017,60850,0.019897924,0.116563789,0.034797181,0.209816186,0.014899257,0.093252397
H173Fg14,HF,2017,150496,0.009089832,0.185359054,0.01239828,0.256107849,0.003308448,0.070748795
H173Fg25,HF,2017,121716,0.000998443,0.048144357,0.001260663,0.06091392,0.00026222,0.012769563
H173Fg28,HF,2017,260845,0.005818461,0.042599623,0.014533972,0.107637779,0.008715511,0.065038156
H173Fg29,HF,2017,271124,0.000312437,0.007780705,0.001641891,0.040945645,0.001329454,0.03316494
H173Fg30,HF,2017,281050,0.002839708,0.114597912,0.00478918,0.194231083,0.001949472,0.079633171
H173Fg32,HF,2017,281525,0.000277036,0.010498748,0.000741348,0.028352093,0.000464312,0.017853345
H173Fg36,HF,2017,241504,0.004337798,0.078684675,0.00536074,0.097757205,0.001022942,0.01907253
H173Fg37,HF,2017,220932,0.000331343,0.009875665,0.001014794,0.030282839,0.000683451,0.020407174
H173Fg42,HF,2017,331632,0.000781569,0.048633394,0.001475846,0.092051239,0.000694277,0.043417845
H173Fg43,HF,2017,321651,0.010753296,0.157859156,0.014024107,0.208581523,0.003270811,0.050722367
H173Fg45,HF,2017,351005,0.008636464,0.102353942,0.007490891,0.089577616,-0.001145573,-0.012776326
H173Fg46,HF,2017,341026,0.014778968,0.116131785,0.011525128,0.091973919,-0.00325384,-0.024157866
H183Fg01,HF,2018,30156,0.01768953,0.188287123,,,,
H183Fg07,HF,2018,81099,0.021665351,0.152604713,,,,
H183Fg08,HF,2018,81091,0.020390159,0.634232306,,,,
H183Fg09,HF,2018,60850,0.034797181,0.209816186,,,,
H183Fg14,HF,2018,150496,0.01239828,0.256107849,,,,
H183Fg25,HF,2018,121716,0.001260663,0.06091392,,,,
H183Fg28,HF,2018,260845,0.014533972,0.107637779,,,,
H183Fg29,HF,2018,271124,0.001641891,0.040945645,,,,
H183Fg30,HF,2018,281050,0.00478918,0.194231083,,,,
H183Fg32,HF,2018,281525,0.000741348,0.028352093,,,,
H183Fg36,HF,2018,241504,0.00536074,0.097757205,,,,
H183Fg37,HF,2018,220932,0.001014794,0.030282839,,,,
H183Fg42,HF,2018,331632,0.001475846,0.092051239,,,,
H183Fg43,HF,2018,321651,0.014024107,0.208581523,,,,
H183Fg45,HF,2018,351005,0.007490891,0.089577616,,,,
H183Fg46,HF,2018,341026,0.011525128,0.091973919,,,,
S173Fg02,SERC,2017,130632,9.92E-05,0.00218306,0.000225571,0.00496399,0.000126371,0.00278093
S173Fg03,SERC,2017,140981,0.053608108,0.511960595,0.026852035,0.253352489,-0.026756073,-0.258608106
S173Fg05,SERC,2017,150147,0.012073554,0.33007164,0.011099398,0.30712148,-0.000974156,-0.02295016
S173Fg07,SERC,2017,43245,0.021575559,0.46197039,0.0203423,0.44507626,-0.001233259,-0.01689413
S173Fg10,SERC,2017,43420,0.001760353,0.15364582,0.00082209,0.07193787,-0.000938263,-0.08170795
S173Fg20,SERC,2017,40756,0.00108798,0.08246182,0.001332255,0.10112488,0.000244275,0.01866306
S173Fg23,SERC,2017,41628,0.004363547,0.16186371,0.003797322,0.14149114,-0.000566225,-0.02037257
S173Fg25,SERC,2017,41489,0.002227916,0.1049022,0.001927662,0.09098222,-0.000300254,-0.01391998
S173Fg27,SERC,2017,30900,0.003406097,0.10431888,0.002654465,0.08160344,-0.000751632,-0.02271544
S173Fg28,SERC,2017,31048,0.004112243,0.08001773,0.004991984,0.09763422,0.000879741,0.01761649
S173Fg29,SERC,2017,30971,0.001985306,0.10621848,0.002564914,0.1375886,0.000579608,0.03137012
S173Fg36,SERC,2017,20948,0.016896425,0.24406925,0.010631794,0.15574312,-0.006264631,-0.08832613
S173Fg39,SERC,2017,50913,0.010167921,0.25712059,0.007153144,0.18249369,-0.003014777,-0.0746269
S173Fg42,SERC,2017,70361,0.001706904,0.11000587,0.001749698,0.11300855,4.28E-05,0.00300268
S173Fg44,SERC,2017,71429,0.002905544,0.18931849,0.002858542,0.18687598,-0.000047002,-0.00244251
S173Fg45,SERC,2017,111002,0.022916986,0.65629826,0.018411789,0.53850531,-0.004505197,-0.11779295
S183Fg02,SERC,2018,130632,0.000225571,0.00496399,,,,
S183Fg03,SERC,2018,140981,0.026852035,0.253352489,,,,
S183Fg05,SERC,2018,150147,0.011099398,0.30712148,,,,
S183Fg07,SERC,2018,43245,0.0203423,0.44507626,,,,
S183Fg10,SERC,2018,43420,0.00082209,0.07193787,,,,
S183Fg20,SERC,2018,40756,0.001332255,0.10112488,,,,
S183Fg23,SERC,2018,41628,0.003797322,0.14149114,,,,
S183Fg25,SERC,2018,41489,0.001927662,0.09098222,,,,
S183Fg27,SERC,2018,30900,0.002654465,0.08160344,,,,
S183Fg28,SERC,2018,31048,0.004991984,0.09763422,,,,
S183Fg29,SERC,2018,30971,0.002564914,0.1375886,,,,
S183Fg36,SERC,2018,20948,0.010631794,0.15574312,,,,
S183Fg39,SERC,2018,50913,0.007153144,0.18249369,,,,
S183Fg42,SERC,2018,70361,0.001749698,0.11300855,,,,
S183Fg44,SERC,2018,71429,0.002858542,0.18687598,,,,
S183Fg45,SERC,2018,111002,0.018411789,0.53850531,,,,