sample,MEdarkturquoise,MEdarkgrey,MEpurple,MEroyalblue,MEgrey60,MEmagenta,MEsaddlebrown,MEdarkgreen,MEsteelblue,MEdarkred,MEskyblue,MEcyan,MElightcyan,MEblack,MEmidnightblue,MEviolet,MEblue,MEtan,MEpaleturquoise,MEsalmon,MElightgreen,MEred,MEyellow,MEpink,MEturquoise,MElightyellow,MEdarkorange,MEbrown,MEorange,MEwhite,MEgreen,MEgreenyellow,MEgrey,RGR.change,growth.change
H181Fg01,0.068379649,0.037512027,-0.074596428,-0.054480471,0.001930911,0.072075244,0.085649867,0.074323739,0.085260867,0.047309736,0.027605168,0.051750815,0.10231964,-0.155004477,-0.036039846,-0.046158098,-0.01212418,0.093634705,0.073272409,0.042717647,0.038994157,0.021546247,-0.007901631,-0.154786411,-0.007785583,-0.003250894,-0.949753241,0.035287155,-0.004725342,0.024275591,-0.006960291,-0.276422312,0.068224884,0.00522835,0.057880023
H181Fg02,-0.036295271,0.089326793,-0.179288159,-0.005853933,-0.061467614,-0.047726421,0.119607279,0.046935842,-0.001093586,0.067400975,0.044454023,-0.897057448,0.049800632,0.030840493,-0.035765954,0.037593592,0.144523248,0.102487963,0.136242122,0.028708788,0.041121105,0.018651208,0.013051032,0.10508606,0.024446668,-0.002826078,0.053240704,0.201581698,0.927274359,0.145369598,0.051665568,0.245830109,0.100906726,0.003545658,0.071011777
H181Fg07,-0.005651748,-0.011865704,-0.255494215,0.059249502,-0.142345174,-0.19334711,-0.107511423,-0.038335272,-0.103356997,-0.019629005,-0.020717639,-0.11678419,-0.015256833,-0.122027175,-0.079095822,-0.087210248,-0.13504175,0.007899304,-0.033401688,-0.020434436,0.00921164,-0.88963651,-0.051670694,-0.263414386,-0.161547114,0.916385205,-0.021906473,0.07733813,-0.125035439,-0.126573219,-0.122943937,-0.050361948,0.059794401,0.00063523,0.008085469
H181Fg08,-0.044582097,0.002517887,-0.109215042,0.116887911,-0.161610176,-0.444929713,-0.060314677,-0.038927906,-0.005593908,0.097610778,-0.026483865,-0.02484543,0.040076613,-0.07622097,-0.001025781,0.008704364,-0.025758062,0.016418602,0.027845705,-0.898827939,0.033534072,-0.041389127,-0.009880699,0.161748285,-0.07643129,-0.028091085,0.010818812,0.052858323,0.01580967,0.070957215,0.06372529,0.302647184,-0.042206984,0.005299499,0.173517817
H181Fg09,0.046928399,0.065555789,-0.225569766,-0.092596752,0.003646337,0.025451531,0.063765849,0.044369812,0.929380764,0.063501208,0.048822178,0.084267133,0.076014935,0.158921194,0.038499468,-0.035362482,0.169942218,0.055457543,-0.928387598,-0.007266503,0.010090115,-0.014969793,-0.037449241,-0.121714535,0.017055252,-0.023495186,0.03708141,0.116375114,0.033454082,0.024807899,0.035650509,-0.024143188,0.02909054,0.014899257,0.093252397
H181Fg14,-0.13859586,-0.087310197,-0.170904046,-0.253078968,-0.23531761,-0.254625556,-0.094198442,-0.047296698,-0.113103437,-0.078693465,-0.125713773,-0.117182463,-0.930667128,-0.157800081,-0.146599808,-0.10009126,0.150963772,-0.07320224,-0.012622378,-0.040811218,0.045467452,-0.06591897,-0.195342185,-0.063073284,-0.101541633,-0.157636341,-0.029063069,-0.066354975,-0.104982174,-0.083749761,-0.1153511,0.02609589,-0.002457303,0.003308448,0.070748795
H181Fg28,0.217470369,0.022181481,-0.371102724,-0.328241573,-0.042710075,-0.017462725,0.163038597,0.073473249,-0.006243683,0.015966703,0.018505695,0.166013347,0.046602432,0.599209771,0.917584583,-0.046728464,0.126579216,0.078769022,0.108536496,0.082002223,0.076720247,0.097036798,-0.027775119,-0.379501866,-0.038142952,-0.011820309,0.053699308,0.042628856,-0.096655446,-0.0143221,-0.038651459,-0.159851508,0.110055201,0.008715511,0.065038156
H181Fg30,0.047044749,-0.042338664,-0.189682292,-0.465579544,-0.190497478,0.009493534,0.112390611,0.009722589,-0.127561015,0.014021729,-0.050783105,0.066640788,0.005945649,0.005643901,-0.049181006,-0.001772126,0.228869329,0.017514105,-0.028365049,0.087659734,0.088959465,0.075206342,-0.105875237,-0.172286603,0.019423408,-0.085758789,-0.011634126,-0.129409192,-0.103981208,-0.894411267,-0.034896821,-0.277462234,0.01119618,0.001949472,0.079633171
H181Fg37,0.097738836,-0.890880489,-0.267462395,-0.360539716,-0.201312688,-0.126898323,0.042709251,0.107062767,-0.027218793,0.034759934,0.029634469,0.053594849,0.029239062,0.249327039,0.049910195,0.941874837,0.147362672,-0.005472946,0.052497949,-0.010913949,0.076417855,0.076874769,-0.058787102,-0.0998066,0.003943994,-0.044653045,-0.002501015,-0.126805156,-0.103605989,-0.096691694,0.007514407,-0.125825572,0.036905118,0.000683451,0.020407174
H181Fg42,-0.026489155,0.034067879,-0.148775772,-0.097310102,-0.218288401,-0.488266563,-0.038098181,0.049953043,-0.045024987,0.098752284,0.018270927,0.050748446,0.056866975,0.25289229,0.007340874,-0.026222266,0.00188078,0.065787812,0.052529275,-0.060483988,0.031825578,0.041513565,6.28E-04,0.048505008,-0.064255203,-0.040554608,0.010101602,-0.068304621,-0.01930755,0.03282808,0.023748981,0.297444241,-0.010298725,0.000694277,0.043417845
H181Fg45,0.111907459,0.075571262,0.20146012,-0.082767905,-0.120321052,0.035953876,0.106085436,0.035570403,-0.031270926,0.030218015,0.020527378,0.063832391,0.095395055,-0.077113745,0.052020295,0.057106971,-0.041196473,0.094549464,0.104323941,0.14092025,0.076870119,0.117390334,0.075458166,0.493374615,0.085507053,-0.023133936,0.078716906,-0.7721285,-0.011059254,0.03739793,0.050639822,-0.089122357,0.117905693,-0.001145573,-0.012776326
H181Fg46,-0.888568981,0.132919126,-0.176051558,-0.013415435,-0.05726213,-0.211392698,0.115014605,0.129413896,0.055272755,0.117674726,0.0503021,0.113084491,0.163426379,0.1946614,0.025663415,0.021522295,0.213106394,0.180723637,0.11401304,0.101500065,0.079816538,0.095031671,0.036807832,0.114639544,0.110452878,0.177598172,0.086943293,0.316161775,0.068465862,0.146832264,0.902132087,0.464702596,0.065194472,-0.00325384,-0.024157866
S181Fg02,-0.005368947,0.039866061,0.157686914,0.044271307,-0.066785075,0.161194602,-0.022534444,0.018836396,-0.095392953,-0.924316147,-0.083369625,0.015115435,0.001570112,-0.31513224,-0.095371193,0.046729776,-0.001538656,0.005206817,0.038155212,0.05245639,-0.021743334,-0.049075992,-0.00959183,0.157874159,0.006019523,-0.079343245,-0.002396578,-0.04424185,0.037997536,0.016381686,-0.072226269,-0.116494831,0.006490879,0.000126371,0.00278093
S181Fg03,-0.049392806,-0.044008278,0.156231512,0.175882637,0.362008736,0.213187712,0.030129127,0.00812004,-0.088611121,-0.13591789,-0.034963157,-0.031993421,-0.021803116,-0.107284153,-0.092391605,-0.096217247,-0.33920334,-0.044220851,0.028232726,0.018409039,-0.021023576,-0.02326141,0.004981313,-0.045083321,-0.119097209,-0.110208595,0.014089465,-0.082659548,-0.020027598,0.025350722,-0.069159329,0.064049684,0.069191881,-0.026756073,-0.258608106
S181Fg05,-0.003957461,-0.01082255,0.088833141,0.266490873,0.48955496,0.157832897,0.004329975,0.033474737,-0.048229192,-0.057485941,0.025019473,-0.021112875,-0.041069058,-0.018224529,-0.037136357,-0.046641697,-0.302999311,-0.236450793,-0.103802175,-0.064045225,-0.117391492,-0.0440876,-0.071065485,-0.17852981,-0.177696205,-0.073898967,6.53E-04,-0.113916974,-0.074012358,-0.015995652,-0.088667028,0.224432856,0.163587395,-0.000974156,-0.02295016
S181Fg06,0.119963609,0.133610658,0.428137552,0.324582846,0.073320982,0.115249595,0.127199962,0.138310376,0.016746914,0.125265819,0.071963138,0.118085625,0.096021926,-0.015615181,0.029682714,0.011918067,-0.387439513,0.132279859,0.053568271,0.135704896,0.105773876,0.19360083,0.903911588,0.281534928,0.163450732,0.069156391,0.067539993,0.165091987,0.06129803,0.199135728,0.162880549,0.015959173,0.066291743,0.020853362,0.166668998
S181Fg07,0.031111971,0.035966305,0.152837046,0.215026153,0.279048472,0.077436588,-0.008415383,-0.017785475,-0.052610191,0.024569292,0.012172695,-0.013361742,-0.076891991,0.079758939,-0.063161579,-0.075565498,-0.272194489,-0.864846771,0.048822015,-0.009695361,0.007897334,-0.034618542,-2.64E-04,-0.051979281,-0.14894087,-0.038353699,0.016038867,-0.124815934,-0.109519559,-0.016512643,-0.088665717,0.176283308,0.014952711,-0.001233259,-0.01689413
S181Fg10,0.131310742,0.081823277,0.223621963,0.189420333,-0.025538959,-0.023955623,0.08953374,0.084524071,-0.047839073,0.067625345,0.07170514,0.09296411,0.135483721,-0.016763078,0.052741107,-0.187946168,-0.320099297,0.120452199,0.043262722,0.064683824,0.074536738,0.082670296,0.093283165,0.08216254,-0.020024019,0.002590632,0.111448524,0.084057116,-0.002284819,0.067672363,0.002075391,-0.019475537,0.072256365,-0.000938263,-0.08170795
S181Fg18,-0.032207468,-0.107170306,-0.007231093,0.162385814,0.315747442,0.16954897,-0.152948486,-0.074755385,-0.06797842,-0.024863525,-0.042192191,-0.06655169,-0.035227075,-0.041111615,-0.133383529,-0.105419295,-0.080931967,-0.135976303,-0.004781677,-0.085497563,-0.911496909,-0.134936461,-0.166833993,-0.143213588,-0.228829561,-0.126395526,0.041666617,-0.110500151,-0.160203885,-0.053635352,-0.164955257,0.105912833,-0.021490007,-0.000829884,-0.004321399
S181Fg20,0.170101155,0.107169752,0.228765796,-0.104847513,-0.207937404,0.138000852,0.105633833,0.149620105,0.072759831,0.121611486,0.100244665,0.180054057,0.07969009,-0.218375194,0.073738519,0.024269495,0.256602161,0.117883169,0.075348312,0.20380564,0.127071869,0.147212768,0.098145081,0.30601583,0.835369354,0.065716786,0.083913348,0.127113615,0.037609831,0.174538618,0.074450032,-0.159708852,0.052517362,0.000244275,0.01866306
S181Fg23,-0.040331422,-0.049911516,0.027069106,0.122319902,0.173476323,0.182767968,-0.045088252,-0.156390832,-0.087660812,0.007867542,-0.060427296,-0.0617713,-0.023766697,-0.002697579,-0.068977819,-0.048369554,-0.026843087,-0.004194603,-0.052070693,-0.034119209,-0.062800286,-0.082204718,-0.106997996,-0.252498311,-0.14254673,-0.117924219,-0.03103256,-0.024481374,-0.057749479,-0.042585225,-0.128405589,-0.039315165,-0.028892428,-0.000566225,-0.02037257
S181Fg25,0.017661132,0.068917474,0.12379855,0.039964429,0.026657385,0.038537031,-0.890787159,0.069899049,0.060028979,0.080462124,0.130779692,0.106233924,0.071708529,0.063315669,0.012792324,-0.01124241,0.233459938,0.096768013,0.063638423,0.144968714,0.061827783,0.142550183,-0.001128155,0.148664238,0.105526549,0.007050945,0.045039291,0.173358323,0.008508692,0.031273917,-0.032209851,-0.041222733,0.189381259,-0.000300254,-0.01391998
S181Fg27,0.121862924,0.053637603,0.019088129,-0.121094466,-0.10924699,0.037766617,0.030182787,0.095397524,-0.005673308,0.079310845,0.377001257,0.09757864,0.091602289,-0.06912878,0.01733451,0.018900643,0.232202465,0.095566155,0.071923251,0.105103816,0.039663131,0.086461195,-0.009435725,-0.055010137,0.112231823,0.007594718,0.040570842,0.123317158,-0.047813611,0.009903029,-0.036927103,-0.288083017,-0.034139561,-0.000751632,-0.02271544
S181Fg28,0.037771503,0.035478955,0.194915798,0.197986643,0.187263403,0.296613427,0.05494822,0.0352513,-0.00252007,0.049925706,0.09320863,-0.0338015,-0.024055916,-0.142664224,0.022855891,-0.033037503,-0.137529215,0.023879916,0.101400665,0.109311822,0.165876688,0.034500231,-0.011877325,-0.018419118,-0.046500686,-0.028890997,0.184645328,0.043445738,-0.021391713,-0.003657996,-0.03830166,0.017944735,0.076691091,0.000879741,0.01761649
S181Fg29,-0.039952914,-0.031517658,0.029115941,0.073893017,0.093010727,0.074645715,-0.074356289,-0.004211425,-0.089606712,-0.001327681,0.023367113,-0.030135225,-0.051645665,-0.103390571,-0.177713194,-0.081798091,0.074024966,-0.012286956,-0.060192061,-0.003774911,-0.042197164,-0.0518952,-0.095355283,-0.0758121,-0.08957809,-0.026665219,0.00644296,0.103917271,-0.026724243,0.082857743,-0.088757179,-0.035818988,-0.031552513,0.000579608,0.03137012
S181Fg36,0.021250049,0.068918128,0.059578576,0.105563994,-0.128533867,-0.175237998,0.069150272,-0.904305646,0.043155453,0.081122344,0.039750726,0.015075499,-6.90E-04,-0.148191322,8.45E-05,-0.018390333,-0.031876089,0.072516525,0.064326907,0.006964799,0.083149162,0.048660836,0.034736311,0.13530544,0.024873612,0.037216427,0.069409765,0.132827072,0.060369948,0.106553672,0.028198108,0.13647539,0.077049938,-0.006264631,-0.08832613
S181Fg39,-0.098705837,-0.099452463,0.065620874,-0.109735494,0.158583248,0.137536803,-0.001495604,-0.110002544,-0.15727035,-0.088674369,-0.868358956,-0.048124175,-0.002973328,-0.006168298,-0.159470232,-0.071974381,0.015796294,-0.123111936,-0.094928192,-0.079907767,-0.182049654,-0.062803943,-0.154166141,-0.0243876,-0.139635908,-0.12983553,-0.0482771,-0.111919744,-0.089931149,-0.027835565,-0.138643863,-0.058874119,0.115884781,-0.003014777,-0.0746269
S181Fg42,0.014331707,-0.019651328,0.069950848,0.070140308,0.004944435,0.08530897,0.022013642,0.011016896,-0.029319743,0.010416128,0.022716129,0.039416875,-0.013498486,-0.115116095,-0.047368453,-0.010421558,-0.062280428,-0.007482451,0.071696751,-0.049986805,0.012139605,0.021271424,-0.003165189,0.078359778,0.006808672,-0.057930295,0.007230943,-0.074482593,-0.013458464,0.058699318,-0.030796584,-0.031537863,-0.264679791,4.28E-05,0.00300268
S181Fg44,0.104221325,0.277801097,0.097822543,-0.01859477,-0.111030922,0.11736823,0.097445197,0.14404063,0.002434731,0.053196943,0.10560444,0.082382168,0.101839413,-0.081480102,-0.03918123,-0.006233308,0.020023955,0.088838134,0.001143757,0.0718386,0.01868465,0.124774166,0.007599505,0.107731801,0.096126333,-0.01948476,0.049899039,0.036187387,0.022829045,0.01399882,-0.008667617,-0.298997282,-0.848671373,-0.000047002,-0.00244251
S181Fg45,0.051044389,0.032087602,-0.149160921,-0.055929027,-0.088987745,-0.162127433,0.056920091,0.032694718,-0.031861016,0.042318359,-0.018645429,0.065882868,-0.006058324,0.35493871,-0.038384968,-0.031818053,0.161718449,0.040612906,-0.012228437,-0.030991373,0.053053236,0.069845401,-0.144039389,-0.121485275,-0.048682801,-0.053157954,0.027374419,0.018473893,-0.081147775,0.107136279,-0.097494089,0.014939505,-0.219179934,-0.004505197,-0.11779295