Season,Year,Site,Module,Predictor,Category,GO.terms,Super.Cluster,,,,,
fall,2019,SERC,ryblue,growth.strategy,BP,acetyl-CoA biosynthetic process from pyruvate,red,,,,,
fall,2019,SERC,ryblue,growth.strategy,BP,glucose metabolic process,red,,,,,
fall,2019,SERC,ryblue,growth.strategy,BP,zinc ion transport,teal,,,,,
fall,2019,SERC,ryblue,growth.strategy,BP,microtubule depolymerization,orange,,,,,
fall,2019,SERC,ryblue,growth.strategy,BP,spliceosomal snRNP assembly,orange,,,,,
fall,2019,SERC,ryblue,growth.strategy,BP,cell surface receptor signaling pathway,blue,,,,,
fall,2019,SERC,ryblue,growth.strategy,BP,defense response,blue,,,,,
fall,2019,SERC,ryblue,growth.strategy,BP,positive regulation of mitotic recombination,blue,,,,,
fall,2019,SERC,ryblue,growth.strategy,BP,regulation of monopolar cell growth,blue,,,,,
fall,2019,SERC,ryblue,growth.strategy,BP,response to karrikin,blue,,,,,
fall,2019,SERC,ryblue,growth.strategy,BP,glycosylation,purple,,,,,
fall,2019,SERC,ryblue,growth.strategy,BP,guard cell differerntiation,green,,,,,
fall,2019,SERC,ryblue,growth.strategy,BP,de-etiolation,green,,,,,
fall,2019,SERC,ryblue,growth.strategy,CC,protein phosphatase type 2A complex,red,,,,,
fall,2019,SERC,ryblue,growth.strategy,CC,pICln-Sm protein complex,red,,,,,
fall,2019,SERC,ryblue,growth.strategy,CC,extracellular region,teal,,,,,
fall,2019,SERC,ryblue,growth.strategy,MF,aldo-keto reductase (NADP) activity,red,,,,,
fall,2019,SERC,ryblue,growth.strategy,MF,glyceraldehyde-3-phosphate dehydrogenase (NAD+) (phosphorylating) activity,red,,,,,
fall,2019,SERC,ryblue,growth.strategy,MF,pyruvate dehydrogenase (acetyl-transferring activity),red,,,,,
fall,2019,SERC,ryblue,growth.strategy,MF,hexosyltransferase activity,teal,,,,,
fall,2019,SERC,ryblue,growth.strategy,MF,DNA-directed DNA polymerase activity,teal,,,,,
fall,2019,SERC,ryblue,growth.strategy,MF,"hydrolase activity, acting on acid anhydrides, in phosphorus-containing anhydrides",orange,,,,,
fall,2019,SERC,ryblue,growth.strategy,MF,protein phosphatase regulator activity,blue,,,,,
fall,2019,SERC,ryblue,growth.strategy,MF,ADP binding,green,,,,,
fall,2019,SERC,ryblue,growth.strategy,MF,adenyl ribonucleotide binding,green,,,,,
fall,2019,SERC,ryblue,growth.strategy,MF,anion binding,green,,,,,
spring,2017,HF,tan,growth.rate,BP,glycogen biosynthetic process,red,,,,,
spring,2017,HF,tan,growth.rate,BP,riboflavin biosynthetic process,red,,,,,
spring,2017,HF,tan,growth.rate,BP,isoquinoline alkaloid biosynthetic process,red,,,,,
spring,2017,HF,tan,growth.rate,BP,plastid membrane organization,teal,,,,,
spring,2017,HF,tan,growth.rate,BP,specification of floral organ identity,orange,,,,,
spring,2017,HF,tan,growth.rate,BP,golgi to plasma membrane protein transport,blue,,,,,
spring,2017,HF,tan,growth.rate,BP,"SRP-dependent cotranslational protein targeting to membrane, signal sequence recognition",blue,,,,,
spring,2017,HF,tan,growth.rate,BP,nucleocytoplasmic transport,blue,,,,,
spring,2017,HF,tan,growth.rate,BP,sialic acid transport,blue,,,,,
spring,2017,HF,tan,growth.rate,BP,clathrin coat disassembly,blue,,,,,
spring,2017,HF,tan,growth.rate,BP,protein localization to Golgi apparatus,blue,,,,,
spring,2017,HF,tan,growth.rate,BP,pyrimidine nucelotide-sugar transmembrane transport,blue,,,,,
spring,2017,HF,tan,growth.rate,BP,mitotic recombination-dependent replication fork processing,green,,,,,
spring,2017,HF,tan,growth.rate,BP,DNA integration,green,,,,,
spring,2017,HF,tan,growth.rate,BP,rRNA catabolic process,green,,,,,
spring,2017,HF,tan,growth.rate,BP,nuclear mRNA surveillance,green,,,,,
spring,2017,HF,tan,growth.rate,CC,Golgi membrane,red,,,,,
spring,2017,HF,tan,growth.rate,CC,riboflavin synthase complex,teal,,,,,
spring,2017,HF,tan,growth.rate,CC,"signal recognition particle, endoplasmic reticulum targeting",teal,,,,,
spring,2017,HF,tan,growth.rate,MF,serine-peptidase activity,red,,,,,
spring,2017,HF,tan,growth.rate,MF,DNA nuclease activity,red,,,,,
spring,2017,HF,tan,growth.rate,MF,"mannan endo-1,4-beta-mannosidase activity",red,,,,,
spring,2017,HF,tan,growth.rate,MF,zinc ion binding,teal,,,,,
spring,2017,HF,tan,growth.rate,MF,nucleic acid binding,teal,,,,,
spring,2017,HF,tan,growth.rate,MF,FMN binding,teal,,,,,
spring,2017,HF,tan,growth.rate,MF,7S RNA binding,orange,,,,,
spring,2017,HF,tan,growth.rate,MF,ligase activity,purple,,,,,
spring,2017,HF,tan,growth.rate,MF,glucose-1-phosphate adenylyltransferase activity,blue,,,,,
spring,2017,HF,tan,growth.rate,MF,"6,7-dimethyl-8-ribityllumazine synthase activity",blue,,,,,
spring,2017,HF,tan,growth.rate,MF,phosphoribosylglycinamide formyltransferease activity,blue,,,,,
spring,2017,HF,tan,growth.rate,MF,"oxidoreductase activity, acting on the CH-CH group of donors, NAD or NADP as acceptor",green,,,,,
spring,2017,HF,tan,growth.rate,MF,structural constituent of nuclear pore,light orange,,,,,
spring,2017,HF,tan,growth.rate,MF,sialic acid transmembrane transporter activity,light orange,,,,,
spring,2017,HF,tan,growth.rate,MF,pyrimidine nucelotide-sugar transmembrane transporter activity,light orange,,,,,
spring,2017,SERC,ltblue,high growth quantile,BP,defense response to oomycetes,red,,,,,
spring,2017,SERC,ltblue,high growth quantile,BP,response to ethylene,red,,,,,
spring,2017,SERC,ltblue,high growth quantile,BP,response to hydrogen peroxide,red,,,,,
spring,2017,SERC,ltblue,high growth quantile,BP,defense response to bacterium,red,,,,,
spring,2017,SERC,ltblue,high growth quantile,BP,trehalose metabolic process,teal,,,,,
spring,2017,SERC,ltblue,high growth quantile,BP,siroheme biosynthetic process,orange,,,,,
spring,2017,SERC,ltblue,high growth quantile,BP,amine metabolic process,orange,,,,,
spring,2017,SERC,ltblue,high growth quantile,BP,establishment of sister chromatic cohesion,blue,,,,,
spring,2017,SERC,ltblue,high growth quantile,BP,protein complex oligomerization,blue,,,,,
spring,2017,SERC,ltblue,high growth quantile,BP,pollen sperm cell differentiation,green,,,,,
spring,2017,SERC,ltblue,high growth quantile,BP,regulation of secondary shoot formation,purple,,,,,
spring,2017,SERC,ltblue,high growth quantile,BP,hormone biosynthetic process,purple,,,,,
spring,2017,SERC,ltblue,high growth quantile,CC,microtubule associated complex,red,,,,,
spring,2017,SERC,ltblue,high growth quantile,MF,catalytic activity,red,,,,,
spring,2017,SERC,ltblue,high growth quantile,MF,anthranilate synthase activity,teal,,,,,
spring,2017,SERC,ltblue,high growth quantile,MF,"alpha, alpha-trehalase activity",orange,,,,,
spring,2017,SERC,ltblue,high growth quantile,MF,transmembrane receptor protein serine/threonine kinase activity,blue,,,,,
spring,2017,SERC,ltblue,high growth quantile,MF,DNA primase activity,blue,,,,,
spring,2017,SERC,ltblue,high growth quantile,MF,phosphoprotein phosphatase activity,blue,,,,,
spring,2017,SERC,ltblue,high growth quantile,MF,pyruvate kinase activity,blue,,,,,
spring,2017,SERC,ltblue,high growth quantile,MF,uroporphyrin-III C methyltransferase activity,blue,,,,,
spring,2017,SERC,ltblue,high growth quantile,MF,acyl-[acyl-carrier-protein]hydrolase activity,blue,,,,,
spring,2017,SERC,ltblue,high growth quantile,MF,zinc ion binding,green,also in Spring 2017 HF tan MF module,,,,
spring,2017,SERC,ltblue,high growth quantile,MF,potassium ion binding ,green,,,,,
spring,2017,SERC,ltblue,high growth quantile,MF,quinone binding,purple,,,,,
spring,2017,SERC,ltblue,high growth quantile,MF,phenethylamine: oxygen oxidoreductase (deaminating) activity,orange,,,,,
spring,2017,SERC,ltblue,high growth quantile,MF,"alchol dehydrogenase activity, zinc dependent",orange,,,,,
spring,2017,SERC,ltblue,high growth quantile,MF,S-(hydroxymethyl)glutathion dehydrogenase activity,orange,,,,,
spring,2019,SERC,dkred,growth.strategy,BP,tRNA 5'leader removal,red,,,,,
spring,2019,SERC,dkred,growth.strategy,BP,somatic cell DNA recombination ,red,,,,,
spring,2019,SERC,dkred,growth.strategy,BP,chloroplast relocation,green,,,,,
spring,2019,SERC,dkred,growth.strategy,BP,meiotic DNA recombinase assembly,green,,,,,
spring,2019,SERC,dkred,growth.strategy,BP,exocytosis,green,,,,,
spring,2019,SERC,dkred,growth.strategy,BP,male meiosis I,green,,,,,
spring,2019,SERC,dkred,growth.strategy,BP,pollen tube growth,green,,,,,
spring,2019,SERC,dkred,growth.strategy,BP,protein polymerization,green,,,,,
spring,2019,SERC,dkred,growth.strategy,BP,ribosome biogenesis,green,,,,,
spring,2019,SERC,dkred,growth.strategy,BP,organelle localization,green,,,,,
spring,2019,SERC,dkred,growth.strategy,BP,shikimate metabolic process,blue,,,,,
spring,2019,SERC,dkred,growth.strategy,BP,proteasomal protein catabolic process,orange,,,,,
spring,2019,SERC,dkred,growth.strategy,BP,tyrosine catabolic process,orange,,,,,
spring,2019,SERC,grey,growth.strategy,BP,leading strand elongation,red,,,,,
spring,2019,SERC,grey,growth.strategy,BP,tRNA-type intron splice site recognition and cleavage,red,,,,,
spring,2019,SERC,grey,growth.strategy,BP,RNA methylation,red,,,,,
spring,2019,SERC,grey,growth.strategy,BP,ligin metabolic process,red,,,,,
spring,2019,SERC,grey,growth.strategy,BP,sterol metabolic process,red,,,,,
spring,2019,SERC,grey,growth.strategy,BP,isoquinoline aklaloid biosynthetic process,red,,,,,
spring,2019,SERC,grey,growth.strategy,BP,vesicle budding from membrane,teal,,,,,
spring,2019,SERC,grey,growth.strategy,BP,mRNA export from nucleus,teal,,,,,
spring,2019,SERC,grey,growth.strategy,BP,monoatomic cation transport,teal,,,,,
spring,2019,SERC,grey,growth.strategy,BP,"protein import into peroxisome matrix, docking",teal,,,,,
spring,2019,SERC,grey,growth.strategy,BP,xenobiotic transport,teal,,,,,
spring,2019,SERC,grey,growth.strategy,BP,chaperone-mediated protein complex assembly,teal,,,,,
spring,2019,SERC,grey,growth.strategy,BP,clathrin-dependent endocytosis,teal,,,,,
spring,2019,SERC,grey,growth.strategy,BP,chromosome segregation,orange,,,,,
spring,2019,SERC,grey,growth.strategy,BP,maintenance of miotic sister chromatid cohesion,orange,,,,,
spring,2019,SERC,grey,growth.strategy,BP,macromolecule catabolic process,blue,,,,,
spring,2019,SERC,grey,growth.strategy,BP,oxidation-dependent protein catabolic process,blue,,,,,
spring,2019,SERC,grey,growth.strategy,BP,hormone-mediated signaling pathway,green,,,,,
spring,2019,SERC,grey,growth.strategy,BP,regulation of DNA replication,green,,,,,
spring,2019,SERC,grey,growth.strategy,BP,regulation of cytokinesis,green,,,,,
spring,2019,SERC,grey,growth.strategy,BP,SREBP signaling pathway,green,,,,,
spring,2019,SERC,grey,growth.strategy,BP,response to DNA damange checkpoint signaling,green,,,,,
spring,2019,SERC,grey,growth.strategy,BP,abaxial cell fate specification,purple,,,,,
spring,2019,SERC,grey,growth.strategy,BP,meristem strucutral organization,purple,,,,,
spring,2019,SERC,dkred,growth.strategy,CC,extracellular region,red,repeated for fall 2019 SERC ryblue module CC,,,,
spring,2019,SERC,dkred,growth.strategy,CC,replication fork,teal,,,,,
spring,2019,SERC,dkred,growth.strategy,CC,"proteasomal core complex, alpha-subunit complex",orange,,,,,
spring,2019,SERC,dkred,growth.strategy,CC,Rad51C-XRCC3 complex,orange,,,,,
spring,2019,SERC,dkred,growth.strategy,CC,U12-type spliceosomal complex,orange,,,,,
spring,2019,SERC,dkred,growth.strategy,CC,apoplast,blue,,,,,
spring,2019,SERC,grey,growth.strategy,CC,clathrin-coated pit,red,,,,,
spring,2019,SERC,grey,growth.strategy,CC,clathrin-coated vesicle,teal,,,,,
spring,2019,SERC,grey,growth.strategy,CC,tRNA-intron endonuclease complex,teal,,,,,
spring,2019,SERC,grey,growth.strategy,CC,proteasome complex,teal,,,,,
spring,2019,SERC,grey,growth.strategy,CC,spindle microtubule,teal,,,,,
spring,2019,SERC,grey,growth.strategy,CC,plastoglobule,teal,,,,,
spring,2019,SERC,grey,growth.strategy,CC,microtubule cytoskeleton,teal,,,,,
spring,2019,SERC,grey,growth.strategy,CC,Ctf18 RFC-like complex,teal,,,,,
spring,2019,SERC,grey,growth.strategy,CC,SMC loading complex,teal,,,,,
spring,2019,SERC,grey,growth.strategy,CC,chromosome passenger complex,teal,,,,,
spring,2019,SERC,grey,growth.strategy,CC,PCNA complex,teal,,,,,
spring,2019,SERC,grey,growth.strategy,CC,pero…,orange,,,,,
spring,2019,SERC,dkred,growth.strategy,MF,four-way junction DNA binding,red,,,,,
spring,2019,SERC,dkred,growth.strategy,MF,ribonuclease P activity,teal,,,,,
spring,2019,SERC,dkred,growth.strategy,MF,crossover junction DNA endonuclease activity,teal,,,,,
spring,2019,SERC,dkred,growth.strategy,MF,phosphoglycolate phosphatase activity,teal,,,,,
spring,2019,SERC,dkred,growth.strategy,MF,acyl-CoA hydrolase activity,teal,,,,,
spring,2019,SERC,dkred,growth.strategy,MF,shikimate 3-dehydrogenase (NADP+) activity,orange,,,,,
spring,2019,SERC,dkred,growth.strategy,MF,ent-kaurenoate oxidase activity,orange,,,,,
spring,2019,SERC,dkred,growth.strategy,MF,S-linalool synthase activity,purple,,,,,
spring,2019,SERC,dkred,growth.strategy,MF,3-dehydroquinate dehydratase activity,purple,,,,,
spring,2019,SERC,dkred,growth.strategy,MF,ribosome binding ,light orange,,,,,
spring,2019,SERC,dkred,growth.strategy,MF,L-tyrosine:2-oxoglutarate aminotransferase activity,blue,,,,,
spring,2019,SERC,dkred,growth.strategy,MF,nickel cation binding,green,,,,,
spring,2019,SERC,grey,growth.strategy,MF,monooxygenase activity,red,,,,,
spring,2019,SERC,grey,growth.strategy,MF,L-iditol 2-dehydrogenase activity,red,,,,,
spring,2019,SERC,grey,growth.strategy,MF,"phosphatidylinositol-4,5-bisphosphate binding",teal,,,,,
spring,2019,SERC,grey,growth.strategy,MF,cholesterol binding,teal,,,,,
spring,2019,SERC,grey,growth.strategy,MF,tRNA-uridine aminocarboxypropltransferase activity,orange,,,,,
spring,2019,SERC,grey,growth.strategy,MF,DNA-(apurinic or apyrimidinic site) endonuclease activity,orange,,,,,
spring,2019,SERC,grey,growth.strategy,MF,double-stranded DNA 3'-5' DNA exonuclease activity,orange,,,,,
spring,2019,SERC,grey,growth.strategy,MF,historne kinase activity,orange,,,,,
spring,2019,SERC,grey,growth.strategy,MF,DNA polymerase processivity factor activity,blue,,,,,
spring,2019,SERC,grey,growth.strategy,MF,clathrin heavy chain binding,green,,,,,
spring,2019,SERC,grey,growth.strategy,MF,SNARE binding,green,,,,,
spring,2019,SERC,grey,growth.strategy,MF,signaling receptor binding,green,,,,,
spring,2019,SERC,grey,growth.strategy,MF,identical protein binding,green,,,,,
spring,2019,SERC,grey,growth.strategy,MF,gamma-tubulin binding,green,,,,,
summer,2017,"SERC, HF",turquise,SLA,BP,ribosomal large subunit assembly,red,,,,,
summer,2017,"SERC, HF",turquise,SLA,BP,telomere capping,red,,,,,
summer,2017,"SERC, HF",turquise,SLA,BP,actin filament bundle assembly,red,,,,,
summer,2017,"SERC, HF",turquise,SLA,BP,cytokinesis by cell plate formation,teal,,,,,
summer,2017,"SERC, HF",turquise,SLA,BP,regulation of transcription by RNA polymerase II,orange,,,,,
summer,2017,"SERC, HF",turquise,SLA,BP,regulation of DNA-templated transciption,orange,,,,,
summer,2017,"SERC, HF",turquise,SLA,BP,transcription by RNA polymerase III,blue,,,,,
summer,2017,"SERC, HF",turquise,SLA,BP,tryptophan biosynthetic process,blue,,,,,
summer,2017,"SERC, HF",turquise,SLA,BP,DNA replication synthesis of RNA primer,blue,,,,,
summer,2017,"SERC, HF",turquise,SLA,BP,flavonoid biosynthetic process,blue,,,,,
summer,2017,"SERC, HF",turquise,SLA,BP,diterpenoid biosynthetic process,blue,,,,,
summer,2017,"SERC, HF",turquise,SLA,BP,glutathione metabolic process,green,,,,,
summer,2017,"SERC, HF",turquise,SLA,BP,unidimensional cell growth,light orange,,,,,
summer,2017,"SERC, HF",turquise,SLA,BP,response to light stimulus,purple,,,,,
summer,2017,"SERC, HF",turquise,SLA,BP,nitrate transmembrane transport,lavendar,,,,,
summer,2017,"SERC, HF",green,SLA,BP,nitrogen compound metabolic process,red,,,,,
summer,2017,"SERC, HF",green,SLA,BP,primary metabolic process,red,,,,,
summer,2017,"SERC, HF",green,SLA,BP,homologous chromosome pairing at meiosis,teal,,,,,
summer,2017,"SERC, HF",green,SLA,BP,actin cytoskeleton organization,teal,,,,,
summer,2017,"SERC, HF",green,SLA,BP,mitotic intra-S DNA damage checkpoint signaling,teal,,,,,
summer,2017,"SERC, HF",green,SLA,BP,photosynthetic electron transport in photosystem II,orange,,,,,
summer,2017,"SERC, HF",green,SLA,BP,sterol transport,blue,,,,,
summer,2017,"SERC, HF",green,SLA,BP,potassium ion transport,blue,,,,,
summer,2017,"SERC, HF",green,SLA,BP,response to endoplasmic reticulum stress,purple,,,,,
summer,2017,"SERC, HF",green,SLA,BP,defense response,purple,,,,,
summer,2017,"SERC, HF",green,SLA,BP,ethylene-activated signaling pathway,purple,,,,,
summer,2017,"SERC, HF",green,SLA,BP,sterol metabolic process,green,,,,,
summer,2017,"SERC, HF",green,SLA,BP,de novo' IMP biosynthetic process,green,,,,,
summer,2017,"SERC, HF",turquise,SLA,CC,transcription factor TFIIC complex,red,,,,,
summer,2017,"SERC, HF",turquise,SLA,CC,RNA polymerase III complex,red,,,,,
summer,2017,"SERC, HF",turquise,SLA,CC,alpha DNA polymerase: primase complex,red,,,,,
summer,2017,"SERC, HF",turquise,SLA,CC,nuclear RNA-directed RNA polymerase complex,red,,,,,
summer,2017,"SERC, HF",turquise,SLA,CC,cyosol,teal,,,,,
summer,2017,"SERC, HF",turquise,SLA,CC,nucleus,teal,,,,,
summer,2017,"SERC, HF",turquise,SLA,CC,mitochondrial outer membrane,teal,,,,,
summer,2017,"SERC, HF",green,SLA,CC,ER to Golgi transport vesicle membrane,red,,,,,
summer,2017,"SERC, HF",green,SLA,CC,chloroplast thylakoid membrane,red,,,,,
summer,2017,"SERC, HF",turquise,SLA,MF,DNA-binding transcription factor activity,red,,,,,
summer,2017,"SERC, HF",turquise,SLA,MF,DNA primase activity,red,,,,,
summer,2017,"SERC, HF",turquise,SLA,MF,RNA methylransferase activity,red,,,,,
summer,2017,"SERC, HF",turquise,SLA,MF,metalloendopeptidase activity,teal,,,,,
summer,2017,"SERC, HF",turquise,SLA,MF,ATP hydrolysis activity,teal,,,,,
summer,2017,"SERC, HF",turquise,SLA,MF,terpene synthase activity,orange,,,,,
summer,2017,"SERC, HF",turquise,SLA,MF,UDP-glucosyltransferase activity,purple,,,,,
summer,2017,"SERC, HF",turquise,SLA,MF,glutathione transferase activity,purple,,,,,
summer,2017,"SERC, HF",turquise,SLA,MF,glutathione binding,light orange,,,,,
summer,2017,"SERC, HF",turquise,SLA,MF,2-oxoglutarate-dependent dioxygenase activity,blue,,,,,
summer,2017,"SERC, HF",turquise,SLA,MF,C-19 gibberellin 2-beta-dioxygenase activity,blue,,,,,
summer,2017,"SERC, HF",turquise,SLA,MF,ligase activity,green,,,,,
summer,2017,"SERC, HF",green,SLA,MF,DNA-binding transcription factor activity,red,,,,,
summer,2017,"SERC, HF",green,SLA,MF,binding,teal,,,,,
summer,2017,"SERC, HF",green,SLA,MF,iron ion binding,orange,,,,,
summer,2017,"SERC, HF",green,SLA,MF,calcium-dependnet phospholipid binding,blue,,,,,
summer,2017,"SERC, HF",green,SLA,MF,heme binding,green,,,,,
summer,2017,"SERC, HF",green,SLA,MF,DNA binding,green,,,,,
summer,2017,"SERC, HF",green,SLA,MF,chlorophyll binding,green,,,,,
summer,2017,"SERC, HF",green,SLA,MF,"electron transporter, transferring electrons within the cyclic electron transport pathway of photosynthesis activity",purple,,,,,
fall,2017,"SERC, HF",cyan,SLA,BP,mitotic cell cycle,red,,,,,
fall,2017,"SERC, HF",cyan,SLA,BP,G1/S transition of mitotis cell cycle,red,,,,,
fall,2017,"SERC, HF",cyan,SLA,BP,homologous chromosome pairing at meiosis,red,,,,,
fall,2017,"SERC, HF",cyan,SLA,BP,DNA repair,teal,,,,,
fall,2017,"SERC, HF",cyan,SLA,BP,defense response to oomycetes,teal,,,,,
fall,2017,"SERC, HF",cyan,SLA,BP,cellular response to stimulus,teal,,,,,
fall,2017,"SERC, HF",cyan,SLA,BP,mismatch repair invovled in maintenance of fidelity invovled in DNA-dependent DNA replication,teal,,,,,
fall,2017,"SERC, HF",cyan,SLA,BP,cellular response to high light intensity,teal,,,,,
fall,2017,"SERC, HF",cyan,SLA,BP,response to arsenite ion,teal,,,,,
fall,2017,"SERC, HF",cyan,SLA,BP,meristem development,purple,,,,,
fall,2017,"SERC, HF",cyan,SLA,BP,proline catabolic process to glutamate,green,,,,,
fall,2017,"SERC, HF",cyan,SLA,BP,circadian rhythm,blue,,,,,
fall,2017,"SERC, HF",cyan,SLA,BP,CDP-choline pathway,orange,,,,,
fall,2017,"SERC, HF",cyan,SLA,BP,kinetochore assembly,light orange,,,,,
fall,2017,"SERC, HF",cyan,SLA,BP,chromatin remodeling,light orange,,,,,
fall,2017,"SERC, HF",cyan,SLA,BP,vesicle budding from membrane,,,,,,
fall,2017,"SERC, HF",cyan,SLA,BP,endomembrane system organization,,,,,,
fall,2017,"SERC, HF",cyan,SLA,BP,SNARE complex diassembly,,,,,,
fall,2017,"SERC, HF",cyan,SLA,BP,maintenance of rDNA,light orange,,,,,
